id,sentence,paraphrased_sentence,option1,option2,answer,orig_len,para_len,opt1_len,opt2_len,orig_blank_pos,para_blank_pos,pred,score1,score2,correct
1,"La coupe n'entre pas dans la valise marron, car _ est trop grande.",Impossible de faire entrer la coupe dans la valise marron puisque _ est trop grande.,la valise,la coupe,2,13,15,2,2,0.75,0.7857142857142857,1,-176.1362762451172,-176.19809341430664,0
2,"Paul a essayé de joindre Georges sur son téléphone, mais _ n'a pas réussi.","Paul a tenté d'appeler Georges sur son portable, cependant _ n’a pas réussi à le joindre.",Paul,Georges,1,14,16,1,1,0.7692307692307693,0.6,2,-230.0694465637207,-229.61458110809326,0
3,"L'avocat a posé une question au témoin, mais _ a refusé de la répéter.","L'avocat a posé une question au témoin ; ce dernier a essuyé un refus de _, qui a décliné de répéter la question",l'avocat,le témoin,1,14,23,1,2,0.6153846153846154,,2,-323.5365467071533,-311.49696350097656,0
4,Nicolas n'a pas pu soulever son fils car _ était trop faible.,"Comme _ était trop faible, Nicolas n’a pas réussi à porter son fils.",Nicolas,son fils,1,12,13,1,2,0.7272727272727273,0.08333333333333333,1,-178.12264347076416,-187.38720512390137,1
5,"Les lycéens harcelaient les collégiens, donc on a punis _.","À cause du harcèlement envers les collégiens, on a finalement sanctionnés _.",les collégiens,les lycéens,2,10,12,2,2,,,2,-187.73925971984863,-177.4567403793335,1
6,J'ai versé l'eau de la carafe dans la tasse jusqu'à ce que _ soit vide.,L’eau de la carafe a été transvasée dans la tasse jusqu’à ce que _ se retrouve vide.,la tasse,la carafe,2,15,17,2,2,0.8571428571428571,0.8125,1,-282.0685634613037,-301.35119915008545,0
7,Bernard a payé les études de Charles. _ est très généreux.,"Les frais de scolarité de Charles ont été réglés par Bernard, car _ est particulièrement généreux.",Charles,Bernard,2,11,16,1,1,0.7,0.8,2,-207.28692054748535,-207.05274868011475,1
8,"Bernard a payé les études de Charles, mais celui-ci ne l'a pas remercié. _ est vraiment blessé.","Bien que Bernard ait financé les études de Charles sans recevoir de remerciement, _, en est profondément affecté.",Bernard,Charles,1,17,18,1,1,0.8125,,2,-218.3464698791504,-218.25535106658936,0
9,"Si l'escroc avait réussi à tromper Samuel, _ aurait pu gagner beaucoup d'argent.","En cas de réussite de la tromperie contre Samuel, _ aurait empoché une grosse somme d’argent.",l'escroc,Samuel,1,13,16,1,1,0.5833333333333334,0.6,2,-282.1022834777832,-240.87511253356934,0
10,Le poisson a mangé le ver. _ était affamé.,"Après avoir avalé le ver, _, était affamé.",le poisson,le ver,1,9,8,2,2,0.75,,2,-135.97447204589844,-135.88724517822266,0
11,"Pendant la tempête, l'arbre est tombé et s'est écrasé sur le toit de ma maison. Maintenant je dois déplacer _.","Lors de la tempête, un arbre s’est abattu sur le toit de ma maison ; il faut désormais enlever _.",le toit,l'arbre,2,20,20,2,1,,,1,-260.8740768432617,-271.2110595703125,0
12,Joël a vendu son ancienne maison et en a acheté une nouvelle maison à quelques kilomètres. Il va déménager ce jeudi de _.,"Après avoir vendu son ancienne maison pour en acquérir une nouvelle maison à quelques kilomètres, Joël quittera _ ce jeudi.",son ancienne maison,sa nouvelle maison,1,23,20,3,3,,0.8947368421052632,1,-260.10108947753906,-262.1307315826416,1
13,Les gens qui commencent à lire les livres de Paul ne peuvent plus les lâcher. _ sont enthousiastes car Paul écrit vraiment bien.,"Dès qu’ils ouvrent un livre de Paul, les lecteurs deviennent passionnés ; _ se montrent enthousiastes grâce à son talent d’écriture.",les gens,les livres de Paul,1,23,21,2,4,0.6818181818181818,0.6,1,-302.04658794403076,-324.35926723480225,1
