id,paraphrased_sentence,option1,option2,answer,pred,score1,score2
1,Impossible de faire entrer la coupe dans la valise marron puisque _ est trop grande.,la valise,la coupe,2,1,-176.1362762451172,-176.19809341430664
2,"Paul a tenté d'appeler Georges sur son portable, cependant _ n’a pas réussi à le joindre.",Paul,Georges,1,2,-230.0694465637207,-229.61458110809326
3,"Après avoir interrogé le témoin, l’avocat s’est heurté au refus de _, qui n’a pas voulu répéter la question.",l'avocat,le témoin,1,2,-325.69950580596924,-314.394193649292
6,L’eau de la carafe a été transvasée dans la tasse jusqu’à ce que _ se retrouve vide.,la tasse,la carafe,2,1,-282.0685634613037,-301.35119915008545
8,"Bien que Bernard ait financé les études de Charles sans recevoir de remerciement, _, en est profondément affecté.",Bernard,Charles,1,2,-218.3464698791504,-218.25535106658936
9,"En cas de réussite de la tromperie contre Samuel, _ aurait empoché une grosse somme d’argent.",l'escroc,Samuel,1,2,-282.1022834777832,-240.87511253356934
10,"Après avoir avalé le ver, _, était affamé.",le poisson,le ver,1,2,-135.97447204589844,-135.88724517822266
11,"Lors de la tempête, un arbre s’est abattu sur le toit de ma maison ; il faut désormais enlever _.",le toit,l'arbre,2,1,-260.8740768432617,-271.2110595703125
14,"Personne n’ayant répondu lorsque Claire a frappé chez Sylvie, _ s’est sentie déçue.",Sylvie,Claire,2,1,-210.10327339172363,-210.11846256256104
16,"Pour que Simon parle français couramment, _ a décidé de suivre des cours avec Adam.",Adam,Simon,2,1,-178.38839149475098,-178.6587553024292
17,"Comme le chemin au lac était obstrué, il nous a été impossible d’emprunter _.",le lac,le chemin,2,1,-219.63584804534912,-220.11048316955566
18,"Un requin ayant été aperçu en mer, nous avons préféré nous rendre au lac afin de nager _.",dans le lac,dans la mer,1,2,-228.8562355041504,-228.39016723632812
19,"Bien que Fred et Alice possèdent des manteaux très chauds, _ ne sont pas prêts pour l’hiver en Alaska.",les manteaux,Fred et Alice,2,1,-282.7978572845459,-283.5651845932007
20,"En 1765, lorsque Dupont s’est rendu sur la tombe de Dubois, _ était déjà en voyage depuis cinq ans.",Dubois,Dupont,2,1,-263.44461250305176,-263.8984851837158
23,"Chaque nuit, des renards pénètrent dans la cour pour s’en prendre aux poules ; il faudrait éliminer _.",les poules,les renards,2,1,-263.18997955322266,-274.2341356277466
24,"Tandis que Fred était devant la télévision, Georges est sorti faire des courses ; une heure plus tard, _ s’est finalement levé.",Georges,Fred,2,1,-281.8550052642822,-282.23243618011475
