id,sentence,option1,option2,answer,paraphrased_sentence
1,"La coupe n'entre pas dans la valise marron, car _ est trop grande.",la valise,la coupe,2,
2,"Paul a essayé de joindre Georges sur son téléphone, mais _ n'a pas réussi.",Paul,Georges,1,
3,"L'avocat a posé une question au témoin, mais _ a refusé de la répéter.",l'avocat,le témoin,1,
4,Nicolas n'a pas pu soulever son fils car _ était trop faible.,Nicolas,son fils,1,
5,"Les lycéens harcelaient les collégiens, donc on _ a punis.",les collégiens,les lycéens,2,
6,J'ai versé l'eau de la carafe dans la tasse jusqu'à ce que _ soit vide.,la tasse,la carafe,2,
7,Bernard a payé les études de Charles. _ est très généreux.,Charles,Bernard,2,
8,"Bernard a payé les études de Charles, mais celui-ci ne l'a pas remercié. _ est vraiment blessé.",Bernard,Charles,1,
9,"Si l'escroc avait réussi à tromper Samuel, _ aurait pu gagner beaucoup d'argent.",l'escroc,Samuel,1,
10,Le poisson a mangé le ver. _ était affamé.,le poisson,le ver,1,
11,"Pendant la tempête, l'arbre est tombé et s'est écrasé sur le toit de ma maison. Maintenant je dois déplacer _.",le toit,l'arbre,2,
12,Joël a vendu sa maison et en a acheté une nouvelle à quelques kilomètres. Il va déménager ce jeudi de _.,son ancienne maison,sa nouvelle maison,1,
13,Les gens qui commencent à lire les livres de Paul ne peuvent plus les lâcher. _ sont enthousiastes car Paul écrit vraiment bien.,les gens,les livres de Paul,1,
14,"Claire a frappé à la porte de Sylvie, mais personne n'a répondu. _ était déçue.",Sylvie,Claire,2,
15,"Claire a frappé à la porte de Sylvie, et Sylvie a ouvert. _ l'a invitée à venir dehors.",Sylvie,Claire,2,
16,"Simon a pris des cours de français avec Adam, car _ voulait parler français couramment.",Adam,Simon,2,
17,"Le chemin pour aller au lac était bloqué, donc on n'a pas pu emprunter _.",le lac,le chemin,2,
18,"On est allé au lac, car un requin a été aperçu dans la mer, c'était plus sûr de nager _.",dans le lac,dans la mer,1,
19,"Fred et Alice ont des manteaux très chauds, mais _ ne sont pas préparés pour l'hiver en Alaska.",les manteaux,Fred et Alice,2,
20,Dupont a visité la tombe de Dubois en 1765. A cette date _ était sur la route depuis cinq ans.,Dubois,Dupont,2,
21,"Henry a été très influencé par Arnault, même si _ a vécu deux siècles plus tard.",Henry,Arnault,1,
22,"Je ne peux pas couper la planche avec cette scie, _ est trop épaisse.",la scie,la planche,2,
23,"La nuit, les renards entrent dans la cour et attaquent les poules. Je devrais tuer _.",les poules,les renards,2,
24,Fred regardait la télé quand Georges est parti faire les courses. Une heure après _ s'est levé.,Georges,Fred,2,
25,Fred est le seul homme encore vivant à se rappeler de mon arrière grand-père.  _ est un homme remarquable.,mon arrière grand-père,Fred,2,
26,"Fred est le seul homme encore vivant à se rappeler de mon père quand il était un enfant. Quand Fred a vu mon père pour la première fois, _ avait 18 ans.",Fred,mon père,1,
27,"En juillet, le Kamchatka a déclaré la guerre à Yakoutsk. Comme l'armée de Yakoutsk était bien mieux équipée que celle du Kamchatka, _ ont gagné en quelques semaines.",le Kamchatka,Yakoutsk,2,
28,"Il y a trop de cerfs dans le parc, et les gardes forestiers ont introduit une petite meute de loups. La population _ devrait rapidement diminuer.",des cerfs,des loups,1,
29,Les archéologues ont découvert que des hommes préhistoriques vivaient à Laputa il y a 20 000 ans. _ cherchaient des indices sur les berges de la rivière.,les archéologues,les hommes préhistoriques,1,
30,La police a arrêté tous les membres d'un gang. _ essayaient de stopper un trafic de drogue dans le quartier.,le gang,la police,2,
31,J'ai mis le gâteau dans le frigo. Il y a beaucoup de sucre _.,dans le gâteau,dans le frigo,1,
32,"Samuel s'est tordu les deux chevilles et il marche avec des béquilles. D'ici un mois, _ devraient être guéries.",les béquilles,les chevilles,2,
33,"Les partisans du nouveau projet de loi sont arrivés à la mairie, ils ont été surpris que la salle soit pleine d'opposants. _ étaient en minorité.",les opposants,les partisans,2,
34,"Tout le monde a aimé les biscuits à l'avoine; seules quelques personnes ont préféré ceux aux pépites de chocolat. La prochaine fois, il faudra faire plus _.",de biscuits à l'avoine,de biscuits au chocolat,1,
35,"Je n'ai pas trouvé de cuillère, et j'ai pris un stylo pour remuer mon café. Mauvaise idée: _ s'est retrouvé plein de café.",le stylo,le café,1,
36,Stéphane suit toujours l'exemple de Fred. _ l' admire énormément.,Stéphane,Fred,1,
37,La table ne passe pas par la porte parce qu'elle est trop large.,la porte,la table,2,
38,"Jean a promis à Benoît de partir, et _ est parti au bout d'une heure.",Benoît,Jean,2,
