sentence,paraphrased_sentence,option1,option2,answer,gpt_category,gpt_category_names,in_original_experiment
The home that my parents had when I was in school was a lot nicer than my house now because the _ was sophisticated.,The home that my parents had when I was in school was a lot nicer than my house now because of how sophisticated the _ was.,home,house,1,"2, 4","['social', 'temporal']",1
The home that my parents had when I was in school was a lot nicer than my house now because the _ is trashy.,The home that my parents had when I was in school was a lot nicer than my house now because of how trashy the _ is.,home,house,2,2,['social'],1
Lindsey like to read graphic novels but Natalie liked classic literature to read. _ bought the new Frank Miller comic at the book store.,Lindsey liked to read graphic novels but Natalie preferred classic literature. The new Frank Miller comic at the book store was bought by _.,Lindsey,Natalie,1,2,['social'],1
To make frosting I needed pudding that was at a store 15 minutes away but pre-made frosting was at a store 5 minutes away.  The _ was closer.,"To make frosting I needed pudding that was at a store 15 minutes away but pre-made frosting was at a store 5 minutes away, making the closer option the _.",pudding,frosting,2,"3, 4","['numerical', 'temporal']",1
"The students were at their desks taking tests with pencils, they used the _ to hold the papers.",The students were at their desks taking tests with pencils. The papers were held using the _.,desks,pencils,1,"1, 5","['physical', 'spatial']",1
Mary thought poodles were a cool dog but Rachel thought Great Danes were cooler. _ bought a small dog bed for their pet.,"Mary thought poodles were a cool dog but Rachel thought Great Danes were cooler. For their pet, a small dog bed was bought by _.",Mary,Rachel,1,"1, 3","['numerical', 'physical']",1
I wanted to build a bathroom on the third floor of the house but I couldn't because the _ would be too full.,"I wanted to build a bathroom on the third floor of the house, but I couldn't because that would overfill the _.",bathroom,floor,2,"1, 5","['physical', 'spatial']",0
Joel researched laws and helped to open a preschool for Eric. Because _ is very good with kids.,Joel researched laws and helped to open a preschool for Eric because of how good with kids _ is.,Joel,Eric,2,2,['social'],1
"Angela thinks her husband might be cheating with Lindsey, and _ confesses at the dinner party.",Angela thinks her husband might be cheating with Lindsey. The person who confesses at the dinner party is _.,Angela,Lindsey,2,2,['social'],1
Jill was on a budget so she only bought a new dress for the ceremony and wore an old hat. She figured the _ would be more noticeable.,"Jill was on a budget so she only bought a new dress for the ceremony and wore an old hat, figuring that the less noticeable item would be the _.",dress,hat,1,"1, 2","['physical', 'social']",1
Judy bought new brushes to paint the etched glasses crack but it didn't fit. The _ was too wide.,"Judy bought new brushes to paint the etched glasses crack but it didn't fit because of the part that was too wide, being the _.",brush,crack,1,"1, 5","['physical', 'spatial']",1
Judy bought new brushes to paint the etched glasses crack but it didn't fit. The _ was too narrow.,"Judy bought new brushes to paint the etched glasses crack but it didn't fit because of the part that was too narrow, being the _.",brush,crack,2,"1, 5","['physical', 'spatial']",1
"Randy gave their heart to Brian, and _ soon told them that they should have kept their heart to themselves.","Randy gave their heart to Brian, and soon the one to tell them that they should have kept their heart to themselves was _.",Randy,Brian,2,2,['social'],0
"Mary wanted to get another piercing in her ear, but the _ was much too tiny.","Mary wanted to get another piercing in her ear, but it was much too tiny, the _.",ear,piercing,1,1,['physical'],1
"Mary wanted to get another piercing in her ear, but the _ was much too huge.","Mary wanted to get another piercing in her ear, but it was much too huge, the _.",ear,piercing,2,1,['physical'],1
