id,sentence,paraphrased_sentence,option1,option2,answer,filled_1,filled_2,pred,score1,score2,correct
1,"La coupe n'entre pas dans la valise marron, car _ est trop grande.",Impossible de faire entrer la coupe dans la valise marron puisque _ est trop grande.,la valise,la coupe,2,"La coupe n'entre pas dans la valise marron, car la valise est trop grande.","La coupe n'entre pas dans la valise marron, car la coupe est trop grande.",1,-186.85103225708008,-186.99455642700195,0
2,"Paul a essayé de joindre Georges sur son téléphone, mais _ n'a pas réussi.","Paul a tenté d'appeler Georges sur son portable, cependant _ n’a pas réussi à le joindre.",Paul,Georges,1,"Paul a essayé de joindre Georges sur son téléphone, mais Paul n'a pas réussi.","Paul a essayé de joindre Georges sur son téléphone, mais Georges n'a pas réussi.",2,-187.16639137268066,-186.80308437347412,0
3,"L'avocat a posé une question au témoin, mais _ a refusé de la répéter.","Après avoir interrogé le témoin, l’avocat s’est heurté au refus de _, qui n’a pas voulu répéter la question.",l'avocat,le témoin,1,"L'avocat a posé une question au témoin, mais l'avocat a refusé de la répéter.","L'avocat a posé une question au témoin, mais le témoin a refusé de la répéter.",2,-209.4482831954956,-198.0619993209839,0
4,Nicolas n'a pas pu soulever son fils car _ était trop faible.,"Comme _ était trop faible, Nicolas n’a pas réussi à porter son fils.",Nicolas,son fils,1,Nicolas n'a pas pu soulever son fils car Nicolas était trop faible.,Nicolas n'a pas pu soulever son fils car son fils était trop faible.,1,-157.07254219055176,-166.32857513427734,1
5,"Les lycéens harcelaient les collégiens, donc on a punis _.","À cause du harcèlement envers les collégiens, on a finalement sanctionnés _.",les collégiens,les lycéens,2,"Les lycéens harcelaient les collégiens, donc on a punis les collégiens.","Les lycéens harcelaient les collégiens, donc on a punis les lycéens.",2,-187.17323207855225,-176.41833209991455,1
6,J'ai versé l'eau de la carafe dans la tasse jusqu'à ce que _ soit vide.,L’eau de la carafe a été transvasée dans la tasse jusqu’à ce que _ se retrouve vide.,la tasse,la carafe,2,J'ai versé l'eau de la carafe dans la tasse jusqu'à ce que la tasse soit vide.,J'ai versé l'eau de la carafe dans la tasse jusqu'à ce que la carafe soit vide.,1,-261.2264471054077,-280.4279851913452,0
7,Bernard a payé les études de Charles. _ est très généreux.,"Les frais de scolarité de Charles ont été réglés par Bernard, car _ est particulièrement généreux.",Charles,Bernard,2,Bernard a payé les études de Charles. Charles est très généreux.,Bernard a payé les études de Charles. Bernard est très généreux.,2,-136.3915729522705,-136.09711742401123,1
8,"Bernard a payé les études de Charles, mais celui-ci ne l'a pas remercié. _ est vraiment blessé.","Bien que Bernard ait financé les études de Charles sans recevoir de remerciement, _, en est profondément affecté.",Bernard,Charles,1,"Bernard a payé les études de Charles, mais celui-ci ne l'a pas remercié. Bernard est vraiment blessé.","Bernard a payé les études de Charles, mais celui-ci ne l'a pas remercié. Charles est vraiment blessé.",1,-250.19740104675293,-250.40471076965332,1
9,"Si l'escroc avait réussi à tromper Samuel, _ aurait pu gagner beaucoup d'argent.","En cas de réussite de la tromperie contre Samuel, _ aurait empoché une grosse somme d’argent.",l'escroc,Samuel,1,"Si l'escroc avait réussi à tromper Samuel, l'escroc aurait pu gagner beaucoup d'argent.","Si l'escroc avait réussi à tromper Samuel, Samuel aurait pu gagner beaucoup d'argent.",2,-265.10881423950195,-222.84225273132324,0
10,Le poisson a mangé le ver. _ était affamé.,"Après avoir avalé le ver, _, était affamé.",le poisson,le ver,1,Le poisson a mangé le ver. le poisson était affamé.,Le poisson a mangé le ver. le ver était affamé.,1,-124.7664909362793,-125.03010749816895,1
11,"Pendant la tempête, l'arbre est tombé et s'est écrasé sur le toit de ma maison. Maintenant je dois déplacer _.","Lors de la tempête, un arbre s’est abattu sur le toit de ma maison ; il faut désormais enlever _.",le toit,l'arbre,2,"Pendant la tempête, l'arbre est tombé et s'est écrasé sur le toit de ma maison. Maintenant je dois déplacer le toit.","Pendant la tempête, l'arbre est tombé et s'est écrasé sur le toit de ma maison. Maintenant je dois déplacer l'arbre.",1,-292.4952697753906,-303.2193841934204,0
12,Joël a vendu son ancienne maison et en a acheté une nouvelle maison à quelques kilomètres. Il va déménager ce jeudi de _.,"Après avoir vendu son ancienne maison pour en acquérir une nouvelle maison à quelques kilomètres, Joël quittera _ ce jeudi.",son ancienne maison,sa nouvelle maison,1,Joël a vendu son ancienne maison et en a acheté une nouvelle maison à quelques kilomètres. Il va déménager ce jeudi de son ancienne maison.,Joël a vendu son ancienne maison et en a acheté une nouvelle maison à quelques kilomètres. Il va déménager ce jeudi de sa nouvelle maison.,1,-281.7985677719116,-283.0605697631836,1
13,Les gens qui commencent à lire les livres de Paul ne peuvent plus les lâcher. _ sont enthousiastes car Paul écrit vraiment bien.,"Dès qu’ils ouvrent un livre de Paul, les lecteurs deviennent passionnés ; _ se montrent enthousiastes grâce à son talent d’écriture.",les gens,les livres de Paul,1,Les gens qui commencent à lire les livres de Paul ne peuvent plus les lâcher. les gens sont enthousiastes car Paul écrit vraiment bien.,Les gens qui commencent à lire les livres de Paul ne peuvent plus les lâcher. les livres de Paul sont enthousiastes car Paul écrit vraiment bien.,1,-281.72411155700684,-304.0370397567749,1
14,"Claire a frappé à la porte de Sylvie, mais personne n'a répondu. _ était déçue.","Personne n’ayant répondu lorsque Claire a frappé chez Sylvie, _ s’est sentie déçue.",Sylvie,Claire,2,"Claire a frappé à la porte de Sylvie, mais personne n'a répondu. Sylvie était déçue.","Claire a frappé à la porte de Sylvie, mais personne n'a répondu. Claire était déçue.",1,-209.00837421417236,-209.417405128479,0
15,"Claire a frappé à la porte de Sylvie, et Sylvie a ouvert. _ l'a invitée à venir dehors.","Lorsque Claire a frappé, Sylvie lui a ouvert la porte et _ l’a invitée à sortir.",Sylvie,Claire,2,"Claire a frappé à la porte de Sylvie, et Sylvie a ouvert. Sylvie l'a invitée à venir dehors.","Claire a frappé à la porte de Sylvie, et Sylvie a ouvert. Claire l'a invitée à venir dehors.",2,-239.7189178466797,-239.5896291732788,1
16,"Simon a pris des cours de français avec Adam, car _ voulait parler français couramment.","Pour que Simon parle français couramment, _ a décidé de suivre des cours avec Adam.",Adam,Simon,2,"Simon a pris des cours de français avec Adam, car Adam voulait parler français couramment.","Simon a pris des cours de français avec Adam, car Simon voulait parler français couramment.",1,-176.72905731201172,-176.96600151062012,0
17,"Le chemin pour aller au lac était bloqué, donc on n'a pas pu emprunter _.","Comme le chemin au lac était obstrué, il nous a été impossible d’emprunter _.",le lac,le chemin,2,"Le chemin pour aller au lac était bloqué, donc on n'a pas pu emprunter le lac.","Le chemin pour aller au lac était bloqué, donc on n'a pas pu emprunter le chemin.",1,-207.19787788391113,-207.3077268600464,0
18,"On est allé au lac, car un requin a été aperçu dans la mer, c'était plus sûr de nager _.","Un requin ayant été aperçu en mer, nous avons préféré nous rendre au lac afin de nager _.",dans le lac,dans la mer,1,"On est allé au lac, car un requin a été aperçu dans la mer, c'était plus sûr de nager dans le lac.","On est allé au lac, car un requin a été aperçu dans la mer, c'était plus sûr de nager dans la mer.",2,-280.355486869812,-280.0413599014282,0
19,"Fred et Alice ont des manteaux très chauds, mais _ ne sont pas préparés pour l'hiver en Alaska.","Bien que Fred et Alice possèdent des manteaux très chauds, _ ne sont pas prêts pour l’hiver en Alaska.",les manteaux,Fred et Alice,2,"Fred et Alice ont des manteaux très chauds, mais les manteaux ne sont pas préparés pour l'hiver en Alaska.","Fred et Alice ont des manteaux très chauds, mais Fred et Alice ne sont pas préparés pour l'hiver en Alaska.",1,-269.31401348114014,-269.41252517700195,0
20,Dupont a visité la tombe de Dubois en 1765. A cette date _ était sur la route depuis cinq ans.,"En 1765, lorsque Dupont s’est rendu sur la tombe de Dubois, _ était déjà en voyage depuis cinq ans.",Dubois,Dupont,2,Dupont a visité la tombe de Dubois en 1765. A cette date Dubois était sur la route depuis cinq ans.,Dupont a visité la tombe de Dubois en 1765. A cette date Dupont était sur la route depuis cinq ans.,1,-240.21366024017334,-240.63249969482422,0
21,"Henry a été très influencé par Arnault, même si _ a vécu deux siècles plus tard.","Malgré l’écart de deux siècles, Henry a subi l’influence d’Arnault, alors que _ a vécu bien plus tard.",Henry,Arnault,1,"Henry a été très influencé par Arnault, même si Henry a vécu deux siècles plus tard.","Henry a été très influencé par Arnault, même si Arnault a vécu deux siècles plus tard.",1,-196.08708381652832,-207.35727310180664,1
22,"Je ne peux pas couper la planche avec cette scie, _ est trop épaisse.","Impossible de scier correctement la planche avec cet la scie, car _ est trop épaisse.",la scie,la planche,2,"Je ne peux pas couper la planche avec cette scie, la scie est trop épaisse.","Je ne peux pas couper la planche avec cette scie, la planche est trop épaisse.",2,-177.1224136352539,-176.7657012939453,1
23,"La nuit, les renards entrent dans la cour et attaquent les poules. Je devrais tuer _.","Chaque nuit, des renards pénètrent dans la cour pour s’en prendre aux poules ; il faudrait éliminer _.",les poules,les renards,2,"La nuit, les renards entrent dans la cour et attaquent les poules. Je devrais tuer les poules.","La nuit, les renards entrent dans la cour et attaquent les poules. Je devrais tuer les renards.",1,-230.07075309753418,-241.0499029159546,0
24,Fred regardait la télé quand Georges est parti faire les courses. Une heure après _ s'est levé.,"Tandis que Fred était devant la télévision, Georges est sorti faire des courses ; une heure plus tard, _ s’est finalement levé.",Georges,Fred,2,Fred regardait la télé quand Georges est parti faire les courses. Une heure après Georges s'est levé.,Fred regardait la télé quand Georges est parti faire les courses. Une heure après Fred s'est levé.,1,-217.95626735687256,-217.98768424987793,0
25,Fred est le seul homme encore vivant à se rappeler de mon arrière grand-père.  _ est un homme remarquable.,"Parmi tous les hommes encore en vie, seul Fred se souvient de mon arrière-grand-père ; _ est vraiment remarquable.",mon arrière grand-père,Fred,2,Fred est le seul homme encore vivant à se rappeler de mon arrière grand-père.  mon arrière grand-père est un homme remarquable.,Fred est le seul homme encore vivant à se rappeler de mon arrière grand-père.  Fred est un homme remarquable.,2,-278.4082450866699,-237.01613903045654,1
26,"Fred est le seul homme encore vivant à se rappeler de mon père quand il était un enfant. Quand Fred a vu mon père pour la première fois, _ avait 18 ans.","Seul Fred, encore en vie aujourd’hui, se rappelle de mon père enfant ; lors de leur première rencontre entre Fred et mon père, _ avait 18 ans.",Fred,mon père,1,"Fred est le seul homme encore vivant à se rappeler de mon père quand il était un enfant. Quand Fred a vu mon père pour la première fois, Fred avait 18 ans.","Fred est le seul homme encore vivant à se rappeler de mon père quand il était un enfant. Quand Fred a vu mon père pour la première fois, mon père avait 18 ans.",1,-363.0671691894531,-373.8130159378052,1
27,"En juillet, le Kamchatka a déclaré la guerre à Yakoutsk. Comme l'armée de Yakoutsk était bien mieux équipée que celle du Kamchatka, _ ont gagné en quelques semaines.","En juillet, le Kamchatka est entré en guerre contre Yakoutsk ; puisque l’armée de Yakoutsk surpassait largement celle du Kamchatka, _ ont remporté la victoire en quelques semaines.",le Kamchatka,Yakoutsk,2,"En juillet, le Kamchatka a déclaré la guerre à Yakoutsk. Comme l'armée de Yakoutsk était bien mieux équipée que celle du Kamchatka, le Kamchatka ont gagné en quelques semaines.","En juillet, le Kamchatka a déclaré la guerre à Yakoutsk. Comme l'armée de Yakoutsk était bien mieux équipée que celle du Kamchatka, Yakoutsk ont gagné en quelques semaines.",1,-494.7468452453613,-494.8142967224121,0
28,"Il y a trop de cerfs dans le parc, et les gardes forestiers ont introduit une petite meute de loups. La population _ devrait rapidement diminuer.","Face à la surpopulation de cerfs dans le parc, les gardes forestiers ont relâché quelques loups ; la population _ devrait donc baisser rapidement.",des cerfs,des loups,1,"Il y a trop de cerfs dans le parc, et les gardes forestiers ont introduit une petite meute de loups. La population des cerfs devrait rapidement diminuer.","Il y a trop de cerfs dans le parc, et les gardes forestiers ont introduit une petite meute de loups. La population des loups devrait rapidement diminuer.",2,-340.94182682037354,-329.88944244384766,0
