id,sentence,paraphrased_sentence,option1,option2,answer,orig_len,para_len,opt1_len,opt2_len,orig_blank_pos,para_blank_pos,pred,score1,score2,correct
1,"La coupe n'entre pas dans la valise marron, car la _ est trop grande.",Impossible de faire entrer la coupe dans la valise marron puisque la _ est trop grande.,valise,coupe,2,14,16,1,1,0.7692307692307693,0.8,2,-0.9188071979971771,-0.8141117002603344,1
2,"Paul a essayé de joindre Georges sur son téléphone, mais _ n'a pas réussi.","Paul a tenté d'appeler Georges sur son portable, cependant _ n’a pas réussi à le joindre.",Paul,Georges,1,14,16,1,1,0.7692307692307693,0.6,2,-1.317981835111,-0.6789615917051296,0
3,"L'avocat a posé une question au témoin, mais _ a refusé de la répéter.","L'avocat a posé une question au témoin ; ce dernier a essuyé un refus de _, qui a décliné de répéter la question",l'avocat,le témoin,1,14,23,1,2,0.6153846153846154,,1,-0.15941156397591974,-0.168486248520434,1
4,Nicolas n'a pas pu soulever son fils car _ était trop faible.,"Comme _ était trop faible, Nicolas n’a pas réussi à porter son fils.",Nicolas,son fils,1,12,13,1,2,0.7272727272727273,0.08333333333333333,2,-1.9741638077748576,-1.8588840091465766,0
5,"Les lycéens harcelaient les collégiens, donc on a punis les _.","À cause du harcèlement envers les collégiens, on a finalement sanctionnés les _.",collégiens,lycéens,2,11,13,1,1,,,1,-0.7882581076222172,-0.833622660763831,0
6,J'ai versé l'eau de la carafe dans la tasse jusqu'à ce que la _ soit vide.,L’eau de la carafe a été transvasée dans la tasse jusqu’à ce que la _ se retrouve vide.,tasse,carafe,2,16,18,1,1,0.8666666666666667,0.8235294117647058,2,-0.4751137267009687,-0.3588644118755366,1
7,Bernard a payé les études de Charles. _ est très généreux.,"Les frais de scolarité de Charles ont été réglés par Bernard, car _ est particulièrement généreux.",Charles,Bernard,2,11,16,1,1,0.7,0.8,1,-1.8315569140193153,-1.9001937987809736,0
8,"Bernard a payé les études de Charles, mais celui-ci ne l'a pas remercié. _ est vraiment blessé.","Bien que Bernard ait financé les études de Charles sans recevoir de remerciement, _, en est profondément affecté.",Bernard,Charles,1,17,18,1,1,0.8125,,2,-1.2350626381926955,-1.138932962313577,0
9,"Si l'escroc avait réussi à tromper Samuel, _ aurait pu gagner beaucoup d'argent.","En cas de réussite de la tromperie contre Samuel, _ aurait empoché une grosse somme d’argent.",l'escroc,Samuel,1,13,16,1,1,0.5833333333333334,0.6,1,-0.34466062757868104,-0.8524353278868754,1
10,Le poisson a mangé le ver. Le _ était affamé.,"Après avoir avalé le ver, le _, était affamé.",poisson,ver,1,10,9,1,1,0.7777777777777778,,2,-2.1084574380734313,-1.7593439147536023,0
11,"Pendant la tempête, l'arbre est tombé et s'est écrasé sur le toit de ma maison. Maintenant je dois déplacer _.","Lors de la tempête, un arbre s’est abattu sur le toit de ma maison ; il faut désormais enlever _.",le toit,l'arbre,2,20,20,2,1,,,2,-0.21910855231564366,-0.16486578121760898,1
12,Joël a vendu son ancienne maison et en a acheté une nouvelle maison à quelques kilomètres. Il va déménager ce jeudi de _.,"Après avoir vendu son ancienne maison pour en acquérir une nouvelle maison à quelques kilomètres, Joël quittera _ ce jeudi.",son ancienne maison,sa nouvelle maison,1,23,20,3,3,,0.8947368421052632,1,-0.933285813031975,-1.0541243224549268,1
13,Les gens qui commencent à lire les livres de Paul ne peuvent plus les lâcher. Les _ sont enthousiastes car Paul écrit vraiment bien.,"Dès qu’ils ouvrent un livre de Paul, les lecteurs deviennent passionnés ; les _ se montrent enthousiastes grâce à son talent d’écriture.",gens,livres de Paul,1,24,22,1,3,0.6956521739130435,0.6190476190476191,1,-0.5000631706626054,-0.9717858914438928,1
14,"Claire a frappé à la porte de Sylvie, mais personne n'a répondu. _ était déçue.","Personne n’ayant répondu lorsque Claire a frappé chez Sylvie, _ s’est sentie déçue.",Sylvie,Claire,2,15,13,1,1,0.8571428571428571,0.75,1,-0.34233549440304395,-0.49171993352543863,0
15,"Claire a frappé à la porte de Sylvie, et Sylvie a ouvert. _ l'a invitée à venir dehors.","Lorsque Claire a frappé, Sylvie lui a ouvert la porte et _ l’a invitée à sortir.",Sylvie,Claire,2,18,16,1,1,0.7058823529411765,0.7333333333333333,2,-0.7819927842195692,-0.698377801521149,1
16,"Simon a pris des cours de français avec Adam, car _ voulait parler français couramment.","Pour que Simon parle français couramment, _ a décidé de suivre des cours avec Adam.",Adam,Simon,2,15,15,1,1,0.7142857142857143,0.42857142857142855,1,-1.0684161272120516,-1.3129044916774881,0
17,"Le chemin pour aller au lac était bloqué, donc on n'a pas pu emprunter le _.","Comme le chemin au lac était obstrué, il nous a été impossible d’emprunter le _.",lac,chemin,2,16,15,1,1,,,1,-0.2830661758038648,-0.602871234170933,0
18,"On est allé au lac, car un requin a été aperçu dans la mer, c'était plus sûr de nager dans _.","Un requin ayant été aperçu en mer, nous avons préféré nous rendre au lac afin de nager dans _.",le lac,la mer,1,21,19,2,2,,,2,-0.8735043380067744,-0.8560993513176893,0
19,"Fred et Alice ont des manteaux très chauds, mais _ ne sont pas préparés pour l'hiver en Alaska.","Bien que Fred et Alice possèdent des manteaux très chauds, _ ne sont pas prêts pour l’hiver en Alaska.",les manteaux,Fred et Alice,2,18,19,2,3,0.5294117647058824,0.5555555555555556,2,-1.070095716631025,-0.5213299542966914,1
20,Dupont a visité la tombe de Dubois en 1765. A cette date _ était sur la route depuis cinq ans.,"En 1765, lorsque Dupont s’est rendu sur la tombe de Dubois, _ était déjà en voyage depuis cinq ans.",Dubois,Dupont,2,20,19,1,1,0.631578947368421,0.6111111111111112,1,-1.1043313130102088,-1.2694655298608788,0
21,"Henry a été très influencé par Arnault, même si _ a vécu deux siècles plus tard.","Malgré l’écart de deux siècles, Henry a subi l’influence d’Arnault, alors que _ a vécu bien plus tard.",Henry,Arnault,1,16,18,1,1,0.6,0.7058823529411765,2,-0.7481754655646827,-0.5231057012215783,0
22,"Je ne peux pas couper la planche avec cette scie, la _ est trop épaisse.","Impossible de scier correctement la planche avec cet la scie, car la _ est trop épaisse.",scie,planche,2,15,16,1,1,0.7857142857142857,0.8,2,-0.5916492939678669,-0.5761544497926598,1
