id,sentence,option1,option2,answer,pred,score1,score2
1,"La coupe n'entre pas dans la valise marron, car _ est trop grande.",la valise,la coupe,2,1,-186.85103225708008,-186.99455642700195
2,"Paul a essayé de joindre Georges sur son téléphone, mais _ n'a pas réussi.",Paul,Georges,1,2,-187.16639137268066,-186.80308437347412
3,"L'avocat a posé une question au témoin, mais _ a refusé de la répéter.",l'avocat,le témoin,1,2,-209.4482831954956,-198.0619993209839
6,J'ai versé l'eau de la carafe dans la tasse jusqu'à ce que _ soit vide.,la tasse,la carafe,2,1,-261.2264471054077,-280.4279851913452
9,"Si l'escroc avait réussi à tromper Samuel, _ aurait pu gagner beaucoup d'argent.",l'escroc,Samuel,1,2,-265.10881423950195,-222.84225273132324
11,"Pendant la tempête, l'arbre est tombé et s'est écrasé sur le toit de ma maison. Maintenant je dois déplacer _.",le toit,l'arbre,2,1,-292.4952697753906,-303.2193841934204
14,"Claire a frappé à la porte de Sylvie, mais personne n'a répondu. _ était déçue.",Sylvie,Claire,2,1,-209.00837421417236,-209.417405128479
16,"Simon a pris des cours de français avec Adam, car _ voulait parler français couramment.",Adam,Simon,2,1,-176.72905731201172,-176.96600151062012
17,"Le chemin pour aller au lac était bloqué, donc on n'a pas pu emprunter _.",le lac,le chemin,2,1,-207.19787788391113,-207.3077268600464
18,"On est allé au lac, car un requin a été aperçu dans la mer, c'était plus sûr de nager _.",dans le lac,dans la mer,1,2,-280.355486869812,-280.0413599014282
19,"Fred et Alice ont des manteaux très chauds, mais _ ne sont pas préparés pour l'hiver en Alaska.",les manteaux,Fred et Alice,2,1,-269.31401348114014,-269.41252517700195
20,Dupont a visité la tombe de Dubois en 1765. A cette date _ était sur la route depuis cinq ans.,Dubois,Dupont,2,1,-240.21366024017334,-240.63249969482422
23,"La nuit, les renards entrent dans la cour et attaquent les poules. Je devrais tuer _.",les poules,les renards,2,1,-230.07075309753418,-241.0499029159546
24,Fred regardait la télé quand Georges est parti faire les courses. Une heure après _ s'est levé.,Georges,Fred,2,1,-217.95626735687256,-217.98768424987793
27,"En juillet, le Kamchatka a déclaré la guerre à Yakoutsk. Comme l'armée de Yakoutsk était bien mieux équipée que celle du Kamchatka, _ ont gagné en quelques semaines.",le Kamchatka,Yakoutsk,2,1,-494.7468452453613,-494.8142967224121
28,"Il y a trop de cerfs dans le parc, et les gardes forestiers ont introduit une petite meute de loups. La population _ devrait rapidement diminuer.",des cerfs,des loups,1,2,-340.94182682037354,-329.88944244384766
30,La police a arrêté tous les membres d'un gang. _ essayaient de stopper un trafic de drogue dans le quartier.,le gang,la police,2,1,-270.47746086120605,-270.7092685699463
31,J'ai mis le gâteau dans le frigo. Il y a beaucoup de sucre _.,dans le gâteau,dans le frigo,1,2,-208.64942932128906,-208.50651836395264
33,"Les partisans du nouveau projet de loi sont arrivés à la mairie, ils ont été surpris que la salle soit pleine d'opposants. _ étaient en minorité.",les opposants,les partisans,2,1,-343.0968017578125,-343.253870010376
34,"Tout le monde a aimé les biscuits à l'avoine; seules quelques personnes ont préféré ceux aux pépites de chocolat. La prochaine fois, il faudra faire plus _.",de biscuits à l'avoine,de biscuits au chocolat,1,2,-406.70580673217773,-385.33093643188477
39,"Claire a frappé à la porte de Sylvie, mais _ n'a pas eu de réponse.",Claire,Sylvie,1,2,-199.09663009643555,-198.64293003082275
44,Benoît a passé la gameboy à Jean. Car ce n'était pas le tour_.,de Benoît,de Jean,1,2,-207.57812023162842,-207.32201385498047
51,"Les conseillers municipaux ont refusé une autorisation aux manifestants, car _ craignent la violence.",les conseillers municipaux,les manifestants,1,2,-188.92001152038574,-178.1426067352295
52,"Alors qu'elles courent à la même vitesse, Sarah a battu Sabine car _ a réussi son départ.",Sarah,Sabine,1,2,-218.11944103240967,-217.89421939849854
55,"François s'est fâché contre Thomas, car le grille-pain que _ lui a acheté ne marche pas.",François,Thomas,1,2,-231.7535219192505,-231.27769947052002
58,Il y a du savon dans le siphon de douche. _ faut le retirer.,le siphon,le savon,2,1,-177.679461479187,-179.1041259765625
59,"Le rendez-vous n'a commencé qu'à 16:00 et mon train était à 16:30 donc j'étais pressé. Heureusement, _ a été de courte durée.",mon train,le rendez-vous,2,1,-396.87668895721436,-417.01459407806396
62,"Anne a demandé à Marie les horaires de fermeture de la bibliothèque, car _ les avait oubliés.",Marie,Anne,2,1,-209.33409214019775,-209.5321559906006
64,Pierre jouait aux cartes avec Adam qui menait au score. Si la chance d'Adam n'avait pas tourné _ aurait perdu.,Adam,Pierre,2,1,-280.4253034591675,-280.5081958770752
67,Le chien courait après un chat qui a alors grimpé dans un arbre. _ est resté en bas toute la nuit.,le chat,le chien,2,1,-280.9171371459961,-281.2105379104614
71,Marie a pris son violon pour jouer un de ses morceaux favoris. Il possède _ depuis son enfance.,le violon,le morceau,1,2,-217.5715160369873,-216.3795509338379
74,Les scientifiques étudient trois espèces de poissons trouvées récemment dans l'océan indien. _ ont commencé il y a deux ans.,les scientifiques,les poissons,1,2,-282.1748847961426,-281.63747787475586
75,Denis a dû empêcher Benoît de maltraiter l'oiseau blessé. _ est vraiment compatissant.,Denis,Benoît,1,2,-220.23779964447021,-220.15747165679932
76,"Prise en tenaille par la défense, Emma n'a pas pu envoyer la balle à Jeanine parce qu'elle avait vu que _ était démarquée.",Jeanine,Emma,1,2,-356.8597755432129,-347.0844564437866
82,Les pompiers sont arrivés avant les policiers alors que _ venaient de plus loin.,Les pompiers,Les policiers,1,2,-165.53512382507324,-164.68788814544678
84,"Le sac de pommes de terre est au-dessus du sac de farine, donc il faudra déplacer _ en premier.",le sac de farine,le sac de pommes de terre,2,1,-269.6065454483032,-291.2212371826172
85,J'ai étalé la nappe sur la table pour montrer _.,la table,la nappe,2,1,-146.7502155303955,-148.01191329956055
88,"Le frère jumeau de Joël arrive toujours à le battre au tennis, même si _ a suivi deux ans de cours en moins.",le frère de Joël,Joël,1,2,-292.7156238555908,-261.5218334197998
91,"Je suis sûre que ce monument est dans mon guide, _ est incontournable.",le guide,le monument,2,1,-166.07133865356445,-166.47583675384521
92,La chatte attendait la souris à côté du trou. _ était très impatiente.,la chatte,la souris,1,2,-179.7386417388916,-179.33839416503906
