id,sentence,paraphrased_sentence,option1,option2,answer,orig_len,para_len,opt1_len,opt2_len,orig_blank_pos,para_blank_pos,pred,score1,score2,correct
5,"Les lycéens harcelaient les collégiens, donc on a punis les _.","À cause du harcèlement envers les collégiens, on a finalement sanctionnés les _.",collégiens,lycéens,2,11,13,1,1,,,1,-1.2815296649932861,-1.3143638372421265,0
9,"Si l'escroc avait réussi à tromper Samuel, _ aurait pu gagner beaucoup d'argent.","En cas de réussite de la tromperie contre Samuel, _ aurait empoché une grosse somme d’argent.",l'escroc,Samuel,1,13,16,1,1,0.5833333333333334,0.6,2,-14.59559440612793,-12.085090637207031,0
17,"Le chemin pour aller au lac était bloqué, donc on n'a pas pu emprunter le _.","Comme le chemin au lac était obstrué, il nous a été impossible d’emprunter le _.",lac,chemin,2,16,15,1,1,,,1,-1.4315016269683838,-2.5489821434020996,0
26,"Fred est le seul homme encore vivant à se rappeler de mon père quand il était un enfant. Quand Fred a vu mon père pour la première fois, _ avait 18 ans.","Seul Fred, encore en vie aujourd’hui, se rappelle de mon père enfant ; lors de leur première rencontre entre Fred et mon père, _ avait 18 ans.",Fred,mon père,1,32,27,1,2,0.9032258064516129,0.8846153846153846,2,-8.565505981445312,-8.019205093383789,0
29,Les archéologues ont découvert que des hommes préhistoriques vivaient à Laputa il y a 20 000 ans. Les _ cherchaient des indices sur les berges de la rivière.,"Après avoir établi que des hommes préhistoriques occupaient Laputa il y a 20 000 ans, les archéologues expliquaient que les _ fouillaient les berges de la rivière à la recherche d’indices.",archéologues,hommes préhistoriques,1,28,31,1,2,0.6666666666666666,0.6666666666666666,2,-35.609039306640625,-35.4704704284668,0
34,"Tout le monde a aimé les biscuits à l'avoine; seules quelques personnes ont préféré ceux aux pépites de chocolat. La prochaine fois, il faudra faire plus de biscuits _.","Les biscuits à l’avoine ont plu à presque tout le monde, contrairement à ceux aux pépites de chocolat ; la prochaine fois, il faudra préparer davantage de biscuits _.",à l'avoine,au chocolat,1,29,29,2,2,,,2,-1.7273988723754883,-1.492998480796814,0
36,Stéphane suit toujours l'exemple de Fred. _ l' admire énormément.,Stéphane prend constamment Fred comme modèle ; _ l’admire profondément.,Stéphane,Fred,1,10,10,1,1,0.6666666666666666,0.7777777777777778,2,-22.992748260498047,-22.262115478515625,0
44,Benoît a passé la gameboy à Jean. Car ce n'était pas le tour de _.,"Benoît a remis la gameboy à Jean, puisque ce n’était pas le tour de _.",Benoît,Jean,1,15,15,1,1,,,2,-2.0088284015655518,-1.785595417022705,0
53,La sculpture est tombée de l'étagère car _ était trop lourde.,"Si la sculpture a chuté de l’étagère, c’est que _ était trop lourde.",la sculpture,l'étagère,1,11,13,2,1,0.7,0.75,2,-12.225358963012695,-10.136754989624023,0
60,La pluie a commencé à tomber au début d'une séance de yoga en plein air et la _ a continué jusqu'à vingt-deux heures.,"Une séance de yoga en plein air venait de débuter quand il s’est mis à pleuvoir, et la _ a duré jusqu’à vingt-deux heures.",séance,pluie,2,23,24,1,1,0.7727272727272727,0.782608695652174,1,-20.260974884033203,-20.90541648864746,0
62,"Anne a demandé à Marie les horaires de fermeture de la bibliothèque, car _ les avait oubliés.","Les horaires de fermeture de la bibliothèque ayant été oubliés par _, Anne les a demandés à Marie.",Marie,Anne,2,17,18,1,1,0.8125,,1,-9.688039779663086,-10.842117309570312,0
64,Pierre jouait aux cartes avec Adam qui menait au score. Si la chance d'Adam n'avait pas tourné _ aurait perdu.,"Alors que Pierre jouait aux cartes contre Adam, qui était en tête, si la chance d’Adam ne s’était pas inversée, _ aurait perdu.",Adam,Pierre,2,20,23,1,1,0.8947368421052632,0.9090909090909091,1,-6.163004398345947,-6.773565769195557,0
71,Marie a pris son violon pour jouer un de ses morceaux favoris. Il possède le _ depuis son enfance.,"Pour interpréter l’un de ses morceaux préférés, Marie a pris son violon ; elle possède le _ depuis son enfance.",violon,morceau,1,19,20,1,1,0.8333333333333334,0.8421052631578947,2,-7.729283332824707,-7.421465873718262,0
82,Les pompiers sont arrivés avant les policiers alors que les _ venaient de plus loin.,"Bien que les _ soient partis de plus loin, les pompiers sont arrivés avant les policiers.",pompiers,policiers,1,15,16,1,1,0.7142857142857143,0.2,2,-21.10124969482422,-19.135448455810547,0
88,"Le frère jumeau de Joël arrive toujours à le battre au tennis, même si _ a suivi deux ans de cours en moins.","Au tennis, le frère jumeau de Joël gagne toujours contre lui, bien que _ ait pris deux ans de cours en moins.",le frère de Joël,Joël,1,23,22,4,1,0.6363636363636364,0.6190476190476191,2,-40.3040657043457,-30.152843475341797,0
90,J'ai sorti le portable de mon sac pour que _ soit plus accessible.,"Afin de rendre _ plus facile à atteindre, j’ai sorti le portable de mon sac.",mon sac,le portable,2,13,15,2,2,0.75,0.21428571428571427,1,-18.348936080932617,-18.531009674072266,0
95,Samuel et Amélie sont passionnément amoureux mais les parents d'Amélie sont contre cette relation car _ sont jeunes.,Les parents d’Amélie s’opposent à la relation entre Samuel et Amélie parce que _ sont trop jeunes.,Samuel et Amélie,les parents d'Amélie,1,18,17,3,3,0.8823529411764706,0.8125,2,-16.725547790527344,-16.393539428710938,0
96,Les renards viennent la nuit dans la cour et attaquent les lapins. Les _ sont devenus téméraires.,"La nuit, des renards pénètrent dans la cour pour attaquer les lapins; les _ sont devenus téméraires.",lapins,renards,2,17,17,1,1,0.8125,0.8125,1,-17.06719970703125,-17.969087600708008,0
99,J'ai lâché une aile de papillon sur la table et _ s'est cassée.,"En laissant tomber une aile de papillon sur la table, _ s’est cassée.",la table,l'aile de papillon,2,13,13,2,3,0.8333333333333334,0.8333333333333334,1,-13.13088607788086,-20.216630935668945,0
100,Lindsey aimait lire des romans graphiques mais Natalie aimait lire de la littérature classique. _ a acheté la nouvelle bande dessinée de Frank Miller à la librairie.,"Lindsey aimait lire des romans graphiques, mais Natalie préférait la littérature classique. La nouvelle bande dessinée de Frank Miller à la librairie a été achetée par _.",Lindsey,Natalie,1,27,27,1,1,0.5384615384615384,,2,-38.12199020385742,-35.499202728271484,0
