id,sentence,paraphrased_sentence,option1,option2,answer,orig_len,para_len,opt1_len,opt2_len,orig_blank_pos,para_blank_pos,pred,score1,score2,correct
1,"La coupe n'entre pas dans la valise marron, car _ est trop grande.",Impossible de faire entrer la coupe dans la valise marron puisque _ est trop grande.,la valise,la coupe,2,13,15,2,2,0.75,0.7857142857142857,1,-9.246692657470703,-9.357988357543945,0
2,"Paul a essayé de joindre Georges sur son téléphone, mais _ n'a pas réussi.","Paul a tenté d'appeler Georges sur son portable, cependant _ n’a pas réussi à le joindre.",Paul,Georges,1,14,16,1,1,0.7692307692307693,0.6,2,-inf,-inf,0
3,"L'avocat a posé une question au témoin, mais _ a refusé de la répéter.","L'avocat a posé une question au témoin ; ce dernier a essuyé un refus de _, qui a décliné de répéter la question",l'avocat,le témoin,1,14,23,1,2,0.6153846153846154,,2,-15.822881698608398,-10.903203964233398,0
4,Nicolas n'a pas pu soulever son fils car _ était trop faible.,"Comme _ était trop faible, Nicolas n’a pas réussi à porter son fils.",Nicolas,son fils,1,12,13,1,2,0.7272727272727273,0.08333333333333333,2,-14.670929908752441,-13.061554908752441,0
5,"Les lycéens harcelaient les collégiens, donc on a punis _.","À cause du harcèlement envers les collégiens, on a finalement sanctionnés _.",les collégiens,les lycéens,2,10,12,2,2,,,1,-16.204092025756836,-16.36720848083496,0
6,J'ai versé l'eau de la carafe dans la tasse jusqu'à ce que _ soit vide.,L’eau de la carafe a été transvasée dans la tasse jusqu’à ce que _ se retrouve vide.,la tasse,la carafe,2,15,17,2,2,0.8571428571428571,0.8125,1,-11.367136001586914,-13.39997673034668,0
8,"Bernard a payé les études de Charles, mais celui-ci ne l'a pas remercié. _ est vraiment blessé.","Bien que Bernard ait financé les études de Charles sans recevoir de remerciement, _, en est profondément affecté.",Bernard,Charles,1,17,18,1,1,0.8125,,2,-inf,-inf,0
10,Le poisson a mangé le ver. _ était affamé.,"Après avoir avalé le ver, _, était affamé.",le poisson,le ver,1,9,8,2,2,0.75,,2,-15.24049186706543,-13.547677993774414,0
11,"Pendant la tempête, l'arbre est tombé et s'est écrasé sur le toit de ma maison. Maintenant je dois déplacer _.","Lors de la tempête, un arbre s’est abattu sur le toit de ma maison ; il faut désormais enlever _.",le toit,l'arbre,2,20,20,2,1,,,1,-13.368566513061523,-20.31252098083496,0
12,Joël a vendu son ancienne maison et en a acheté une nouvelle maison à quelques kilomètres. Il va déménager ce jeudi de _.,"Après avoir vendu son ancienne maison pour en acquérir une nouvelle maison à quelques kilomètres, Joël quittera _ ce jeudi.",son ancienne maison,sa nouvelle maison,1,23,20,3,3,,0.8947368421052632,2,-16.150209426879883,-14.820034980773926,0
14,"Claire a frappé à la porte de Sylvie, mais personne n'a répondu. _ était déçue.","Personne n’ayant répondu lorsque Claire a frappé chez Sylvie, _ s’est sentie déçue.",Sylvie,Claire,2,15,13,1,1,0.8571428571428571,0.75,1,-13.184206008911133,-inf,0
15,"Claire a frappé à la porte de Sylvie, et Sylvie a ouvert. _ l'a invitée à venir dehors.","Lorsque Claire a frappé, Sylvie lui a ouvert la porte et _ l’a invitée à sortir.",Sylvie,Claire,2,18,16,1,1,0.7058823529411765,0.7333333333333333,1,-16.024526596069336,-inf,0
20,Dupont a visité la tombe de Dubois en 1765. A cette date _ était sur la route depuis cinq ans.,"En 1765, lorsque Dupont s’est rendu sur la tombe de Dubois, _ était déjà en voyage depuis cinq ans.",Dubois,Dupont,2,20,19,1,1,0.631578947368421,0.6111111111111112,1,-16.437347412109375,-22.23982048034668,0
21,"Henry a été très influencé par Arnault, même si _ a vécu deux siècles plus tard.","Malgré l’écart de deux siècles, Henry a subi l’influence d’Arnault, alors que _ a vécu bien plus tard.",Henry,Arnault,1,16,18,1,1,0.6,0.7058823529411765,2,-inf,-12.888303756713867,0
23,"La nuit, les renards entrent dans la cour et attaquent les poules. Je devrais tuer _.","Chaque nuit, des renards pénètrent dans la cour pour s’en prendre aux poules ; il faudrait éliminer _.",les poules,les renards,2,16,18,2,2,,,1,-12.576550483703613,-15.06500244140625,0
25,Fred est le seul homme encore vivant à se rappeler de mon arrière grand-père.  _ est un homme remarquable.,"Parmi tous les hommes encore en vie, seul Fred se souvient de mon arrière-grand-père ; _ est vraiment remarquable.",mon arrière grand-père,Fred,2,19,19,3,1,0.7777777777777778,0.8333333333333334,1,-16.154926300048828,-inf,0
26,"Fred est le seul homme encore vivant à se rappeler de mon père quand il était un enfant. Quand Fred a vu mon père pour la première fois, _ avait 18 ans.","Seul Fred, encore en vie aujourd’hui, se rappelle de mon père enfant ; lors de leur première rencontre entre Fred et mon père, _ avait 18 ans.",Fred,mon père,1,32,27,1,2,0.9032258064516129,0.8846153846153846,2,-inf,-9.524667739868164,0
27,"En juillet, le Kamchatka a déclaré la guerre à Yakoutsk. Comme l'armée de Yakoutsk était bien mieux équipée que celle du Kamchatka, _ ont gagné en quelques semaines.","En juillet, le Kamchatka est entré en guerre contre Yakoutsk ; puisque l’armée de Yakoutsk surpassait largement celle du Kamchatka, _ ont remporté la victoire en quelques semaines.",le Kamchatka,Yakoutsk,2,28,28,2,1,0.8148148148148148,0.7407407407407407,1,-10.218558311462402,-16.58732795715332,0
28,"Il y a trop de cerfs dans le parc, et les gardes forestiers ont introduit une petite meute de loups. La population _ devrait rapidement diminuer.","Face à la surpopulation de cerfs dans le parc, les gardes forestiers ont relâché quelques loups ; la population _ devrait donc baisser rapidement.",des cerfs,des loups,1,26,24,2,2,0.88,0.8260869565217391,2,-12.667667388916016,-8.406747817993164,0
29,Les archéologues ont découvert que des hommes préhistoriques vivaient à Laputa il y a 20 000 ans. _ cherchaient des indices sur les berges de la rivière.,"Après avoir établi que des hommes préhistoriques occupaient Laputa il y a 20 000 ans, les archéologues expliquaient que _ fouillaient les berges de la rivière à la recherche d’indices.",les archéologues,les hommes préhistoriques,1,27,30,2,3,0.6538461538461539,0.6551724137931034,2,-17.207332611083984,-14.961352348327637,0
35,"Je n'ai pas trouvé de cuillère, et j'ai pris un stylo pour remuer mon café. Mauvaise idée: _ s'est retrouvé plein de café.","Faute de cuillère, j’ai utilisé un stylo pour mélanger mon café ; résultat, _ a fini couvert de café.",le stylo,le café,1,23,19,2,2,0.7727272727272727,0.7222222222222222,2,-15.245152473449707,-9.301190376281738,0
38,"Jean a promis à Benoît de partir, et _ est parti au bout d'une heure.","Après que Jean a promis à Benoît de partir, _ a quitté les lieux une heure plus tard.",Benoît,Jean,2,15,18,1,1,0.5714285714285714,0.5294117647058824,1,-27.9508056640625,-inf,0
39,"Claire a frappé à la porte de Sylvie, mais _ n'a pas eu de réponse.","Lorsque Claire a frappé chez Sylvie, _ n’a obtenu aucune réponse.",Claire,Sylvie,1,15,11,1,1,0.6428571428571429,0.6,2,-inf,-14.901531219482422,0
40,Joël a payé le détective quand _ a reçu le rapport final sur l'affaire.,Le paiement du détective par Joël a eu lieu une fois que _ a reçu le rapport final concernant l’affaire.,le détective,Joël,2,14,20,2,1,0.46153846153846156,0.631578947368421,1,-9.35877513885498,-10.714686393737793,0
41,Gérard a appelé le barman. _ a rendu sa pinte vide.,"Une fois le barman appelé par Gérard, _ a rendu sa pinte vide.",Le barman,Gérard,2,11,13,2,1,0.5,0.5833333333333334,1,-13.829087257385254,-19.768802642822266,0
42,Thomas a conduit Raphaël en voiture parce que _ n'aime pas conduire tout seul.,"Si Thomas a pris le volant pour Raphaël, c’est parce que _ n’apprécie pas de conduire seul.",Raphaël,Thomas,2,14,17,1,1,0.6153846153846154,0.6875,1,-20.35350227355957,-inf,0
44,Benoît a passé la gameboy à Jean. Car ce n'était pas le tour_.,"Benoît a remis la gameboy à Jean, puisque ce n’était pas le tour_.",de Benoît,de Jean,1,13,13,2,2,,,2,-14.430669784545898,-14.129871368408203,0
45,Thierry ne voulait pas partager ses jouets avec Benoît. _ a pleuré.,"Refusant de partager ses jouets avec Benoît, Thierry a provoqué les larmes de _.",Thierry,Benoît,2,12,14,1,1,0.8181818181818182,,1,-18.990272521972656,-28.95281982421875,0
47,Claire a donné des bonbons à Jeanine parce que _ n'avait pas faim.,"Puisque _ n’avait pas faim, Claire a offert des bonbons à Jeanine.",Jeanine,Claire,2,13,12,1,1,0.75,0.09090909090909091,1,-12.579647064208984,-inf,0
51,"Les conseillers municipaux ont refusé une autorisation aux manifestants, car _ craignent la violence.","Les manifestants se sont vu refuser l’autorisation par les conseillers municipaux, car _ redoutent des violences.",les conseillers municipaux,les manifestants,1,14,16,3,2,0.7692307692307693,0.8,2,-15.103157043457031,-14.717721939086914,0
52,"Alors qu'elles courent à la même vitesse, Sarah a battu Sabine car _ a réussi son départ.","Bien que Sarah et Sabine aient couru à vitesse égale, la victoire est revenue à Sarah parce que _ a pris un meilleur départ.",Sarah,Sabine,1,17,24,1,1,0.75,0.782608695652174,2,-inf,-15.903629302978516,0
